paths;label;bdd
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/194647378.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/69619308.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/67316808.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/23189451.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/138360035.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/42842698.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187291248.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/195629772.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/128608153.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/189000262.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187851621.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/75520749.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/183556719.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/35353972.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/253390357.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/139191221.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/118933981.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/191099008.jpg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/199353539.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187013570.jpeg;Andrena cineraria;
../../data_bees_detection/whole_dataset/inaturalist_2305/Andrena cineraria/187041222.jpeg;Andrena cineraria;
