species,genus,family,subfamily,tribe
Aglaoapis tridentata,Aglaoapis,Megachilidae,Megachilinae,Dioxyini
Amegilla albigena,Amegilla,Apidae,Anthophorinae,
Amegilla garrula,Amegilla,Apidae,Anthophorinae,
Amegilla magnilabris,Amegilla,Apidae,Anthophorinae,
Amegilla quadrifasciata,Amegilla,Apidae,Anthophorinae,
Ammobates punctatus,Ammobates,Apidae,Nomadinae,Ammobatini
Ammobatoides scriptus,Ammobatoides,Apidae,Nomadinae,Ammobatoidini
Andrena aeneiventris,Andrena,Andrenidae,Andreninae,
Andrena afrensis,Andrena,Andrenidae,Andreninae,
Andrena agilissima,Andrena,Andrenidae,Andreninae,
Andrena albopunctata,Andrena,Andrenidae,Andreninae,
Andrena allosa,Andrena,Andrenidae,Andreninae,
Andrena ampla,Andrena,Andrenidae,Andreninae,
Andrena angustior,Andrena,Andrenidae,Andreninae,
Andrena apicata,Andrena,Andrenidae,Andreninae,
Andrena argentata,Andrena,Andrenidae,Andreninae,
Andrena asperrima,Andrena,Andrenidae,Andreninae,
Andrena assimilis,Andrena,Andrenidae,Andreninae,
Andrena barbilabris,Andrena,Andrenidae,Andreninae,
Andrena batava,Andrena,Andrenidae,Andreninae,
Andrena bicolor,Andrena,Andrenidae,Andreninae,
Andrena bicolorata,Andrena,Andrenidae,Andreninae,
Andrena bimaculata,Andrena,Andrenidae,Andreninae,
Andrena bimaculata,Andrena,Andrenidae,Andreninae,
Andrena binominata,Andrena,Andrenidae,Andreninae,
Andrena bucephala,Andrena,Andrenidae,Andreninae,
Andrena carantonica,Andrena,Andrenidae,Andreninae,
Andrena chrysosceles,Andrena,Andrenidae,Andreninae,
Andrena cineraria,Andrena,Andrenidae,Andreninae,
Andrena cinerea,Andrena,Andrenidae,Andreninae,
Andrena clarkella,Andrena,Andrenidae,Andreninae,
Andrena coitana,Andrena,Andrenidae,Andreninae,
Andrena colletiformis,Andrena,Andrenidae,Andreninae,
Andrena combinata,Andrena,Andrenidae,Andreninae,
Andrena confinis,Andrena,Andrenidae,Andreninae,
Andrena congruens,Andrena,Andrenidae,Andreninae,
Andrena curvungula,Andrena,Andrenidae,Andreninae,
Andrena decipiens,Andrena,Andrenidae,Andreninae,
Andrena denticulata,Andrena,Andrenidae,Andreninae,
Andrena distinguenda,Andrena,Andrenidae,Andreninae,
Andrena dorsata,Andrena,Andrenidae,Andreninae,
Andrena erythrocnemis,Andrena,Andrenidae,Andreninae,
Andrena espanola,Andrena,Andrenidae,Andreninae,
Andrena fabrella,Andrena,Andrenidae,Andreninae,
Andrena falsifica,Andrena,Andrenidae,Andreninae,
Andrena farinosa,Andrena,Andrenidae,Andreninae,
Andrena ferox,Andrena,Andrenidae,Andreninae,
Andrena flavilabris,Andrena,Andrenidae,Andreninae,
Andrena flavipes,Andrena,Andrenidae,Andreninae,
Andrena florea,Andrena,Andrenidae,Andreninae,
Andrena florentina,Andrena,Andrenidae,Andreninae,
Andrena freygessneri,Andrena,Andrenidae,Andreninae,
Andrena fucata,Andrena,Andrenidae,Andreninae,
Andrena fulva,Andrena,Andrenidae,Andreninae,
Andrena fulva,Andrena,Andrenidae,Andreninae,
Andrena fulvago,Andrena,Andrenidae,Andreninae,
Andrena fuscipes,Andrena,Andrenidae,Andreninae,
Andrena fuscosa,Andrena,Andrenidae,Andreninae,
Andrena gallica,Andrena,Andrenidae,Andreninae,
Andrena granulosa,Andrena,Andrenidae,Andreninae,
Andrena gravida,Andrena,Andrenidae,Andreninae,
Andrena haemorrhoa,Andrena,Andrenidae,Andreninae,
Andrena hattorfiana,Andrena,Andrenidae,Andreninae,
Andrena hedikae,Andrena,Andrenidae,Andreninae,
Andrena helvola,Andrena,Andrenidae,Andreninae,
Andrena hesperia,Andrena,Andrenidae,Andreninae,
Andrena hispania,Andrena,Andrenidae,Andreninae,
Andrena humilis,Andrena,Andrenidae,Andreninae,
Andrena labialis,Andrena,Andrenidae,Andreninae,
Andrena labiata,Andrena,Andrenidae,Andreninae,
Andrena lagopus,Andrena,Andrenidae,Andreninae,
Andrena lapponica,Andrena,Andrenidae,Andreninae,
Andrena lathyri,Andrena,Andrenidae,Andreninae,
Andrena leucolippa,Andrena,Andrenidae,Andreninae,
Andrena limata,Andrena,Andrenidae,Andreninae,
Andrena limbata,Andrena,Andrenidae,Andreninae,
Andrena limbata dusmeti,Andrena,Andrenidae,Andreninae,
Andrena livens,Andrena,Andrenidae,Andreninae,
Andrena marginata,Andrena,Andrenidae,Andreninae,
Andrena minutula,Andrena,Andrenidae,Andreninae,
Andrena minutuloides,Andrena,Andrenidae,Andreninae,
Andrena mitis,Andrena,Andrenidae,Andreninae,
Andrena morio,Andrena,Andrenidae,Andreninae,
Andrena nana,Andrena,Andrenidae,Andreninae,
Andrena nigriceps,Andrena,Andrenidae,Andreninae,
Andrena nigroaenea,Andrena,Andrenidae,Andreninae,
Andrena nigroolivacea,Andrena,Andrenidae,Andreninae,
Andrena nigrospina,Andrena,Andrenidae,Andreninae,
Andrena nitida,Andrena,Andrenidae,Andreninae,
Andrena nitidiuscula,Andrena,Andrenidae,Andreninae,
Andrena nitidula,Andrena,Andrenidae,Andreninae,
Andrena niveata,Andrena,Andrenidae,Andreninae,
Andrena nuptialis,Andrena,Andrenidae,Andreninae,
Andrena nycthemera,Andrena,Andrenidae,Andreninae,
