REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;NC;WF;PF;CLI;GROUP1_INPN;GROUP2_INPN;URL
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;239299;189150;883934;239299;ES;Andrena aeneiventris;Morawitz, 1872;Andrena aeneiventris Morawitz, 1872;<i>Andrena aeneiventris</i> Morawitz, 1872;Andrena aeneiventris Morawitz, 1872;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239299
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;317467;189150;883936;317467;ES;Andrena afrensis;Warncke, 1967;Andrena afrensis Warncke, 1967;<i>Andrena afrensis</i> Warncke, 1967;Andrena afrensis Warncke, 1967;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/317467
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1012377;189150;883977;1012377;ES;Andrena afzeliella;(Kirby, 1802);Andrena afzeliella (Kirby, 1802);<i>Andrena afzeliella</i> (Kirby, 1802);Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1014610;0;0;1012377;VAR;Andrena afzeliella var. heliopolis;Friese, 1914;Andrena afzeliella var. heliopolis Friese, 1914;<i>Andrena afzeliella </i>var.<i> heliopolis</i> Friese, 1914;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;939541;0;0;1012377;ES;Andrena albofasciata;Thomson, 1870;Andrena albofasciata Thomson, 1870;<i>Andrena albofasciata</i> Thomson, 1870;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1014608;0;0;1012377;ES;Andrena canescens;Schenck, 1853;Andrena canescens Schenck, 1853;<i>Andrena canescens</i> Schenck, 1853;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1014611;0;0;1012377;ES;Andrena pseudovatula;Alfken, 1926;Andrena pseudovatula Alfken, 1926;<i>Andrena pseudovatula</i> Alfken, 1926;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1012697;0;0;1012377;ES;Melitta afzeliella;Kirby, 1802;Melitta afzeliella Kirby, 1802;<i>Melitta afzeliella</i> Kirby, 1802;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1014605;0;0;1012377;ES;Melitta fuscata;Kirby, 1802;Melitta fuscata Kirby, 1802;<i>Melitta fuscata</i> Kirby, 1802;Andrena afzeliella (Kirby, 1802);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012377
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;239301;189150;883936;239301;ES;Andrena agilissima;(Scopoli, 1770);Andrena agilissima (Scopoli, 1770);<i>Andrena agilissima</i> (Scopoli, 1770);Andrena agilissima (Scopoli, 1770);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239301
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;996805;0;0;239301;ES;Apis agilissima;Scopoli, 1770;Apis agilissima Scopoli, 1770;<i>Apis agilissima</i> Scopoli, 1770;Andrena agilissima (Scopoli, 1770);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239301
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;939710;239301;239301;939710;SSES;Andrena agilissima agilissima;(Scopoli, 1770);Andrena agilissima agilissima (Scopoli, 1770);<i>Andrena agilissima agilissima</i> (Scopoli, 1770);Andrena agilissima agilissima (Scopoli, 1770);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939710
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1001551;0;0;939710;ES;Andrena flessae;Panzer, 1801;Andrena flessae Panzer, 1801;<i>Andrena flessae</i> Panzer, 1801;Andrena agilissima agilissima (Scopoli, 1770);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939710
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;1000657;0;0;939710;ES;Apis muraria;Geoffroy in Fourcroy, 1785;Apis muraria Geoffroy in Fourcroy, 1785;<i>Apis muraria</i> Geoffroy <i>in</i> Fourcroy, 1785;Andrena agilissima agilissima (Scopoli, 1770);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939710
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;317468;189150;883944;317468;ES;Andrena agnata;Warncke, 1967;Andrena agnata Warncke, 1967;<i>Andrena agnata</i> Warncke, 1967;Andrena agnata Warncke, 1967;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/317468
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;239302;189150;883961;239302;ES;Andrena albopunctata;(Rossi, 1792);Andrena albopunctata (Rossi, 1792);<i>Andrena albopunctata</i> (Rossi, 1792);Andrena albopunctata (Rossi, 1792);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239302
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;998073;0;0;239302;ES;Apis albopunctata;Rossi, 1792;Apis albopunctata Rossi, 1792;<i>Apis albopunctata</i> Rossi, 1792;Andrena albopunctata (Rossi, 1792);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239302
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;239303;189150;814732;239303;ES;Andrena alfkenella;Perkins, 1914;Andrena alfkenella Perkins, 1914;<i>Andrena alfkenella</i> Perkins, 1914;Andrena alfkenella Perkins, 1914;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239303
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;407112;0;0;239303;ES;Andrena moricella;Perkins, 1914;Andrena moricella Perkins, 1914;<i>Andrena moricella</i> Perkins, 1914;Andrena alfkenella Perkins, 1914;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239303
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;239304;189150;883950;239304;ES;Andrena allosa;Warncke, 1975;Andrena allosa Warncke, 1975;<i>Andrena allosa</i> Warncke, 1975;Andrena allosa Warncke, 1975;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239304
Animalia;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;808455;189150;883972;808455;ES;Andrena alutacea;Stöckhert, 1942;Andrena alutacea Stöckhert, 1942;<i>Andrena alutacea</i> Stöckhert, 1942;Andrena alutacea Stöckhert, 1942;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/808455
