path,xmin,ymin,xmax,ymax,label,width,height
BD_71/Dasypoda hirtipes/Dasypoda hirtipes53078.jpg,43.57142857142857,17.857142857142858,488.0,460.5078125,Dasypoda hirtipes,488,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes84465.jpeg,0.0,1.7578125,498.75,495.5078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes78927.jpeg,0.0,135.5078125,367.5,449.2578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/eucera_chic_prof.jpg,37.5,31.757812500000004,411.25,478.0078125,Dasypoda hirtipes,498,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes77381.jpg,28.75,10.507812500000002,497.5,358.0078125,Dasypoda hirtipes,500,373
BD_71/Dasypoda hirtipes/Dasypoda hirtipes47004.jpg,77.5,40.5078125,408.75,435.5078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes77371.jpg,22.5,11.7578125,463.75,378.0078125,Dasypoda hirtipes,500,424
BD_71/Dasypoda hirtipes/Dasypoda hirtipes88549.jpeg,51.33928571428572,36.830357142857146,482.1428571428572,329.7991071428571,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes66528.jpeg,2.5,79.2578125,387.5,295.5078125,Dasypoda hirtipes,500,350
BD_71/Dasypoda hirtipes/DSC_1341_DxO_pn_light_org.jpg,91.33482142857144,16.696428571428573,478.9508928571428,338.93749999999994,Dasypoda hirtipes,499,374
BD_71/Dasypoda hirtipes/Dasypoda hirtipes6263.jpg,0.0,41.7578125,433.75,311.75781250000006,Dasypoda hirtipes,500,333
BD_71/Dasypoda hirtipes/Dasypoda hirtipes13083.jpg,26.785714285714285,56.91964285714285,415.0,324.2578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85781.jpeg,105.0,34.2578125,441.25,414.25781250000006,Dasypoda hirtipes,500,499
BD_71/Dasypoda hirtipes/Dasypoda hirtipes4730.jpg,89.28571428571429,11.758928571428571,416.25,413.0078125,Dasypoda hirtipes,500,439
BD_71/Dasypoda hirtipes/Dasypoda hirtipes85876.jpeg,172.5,0.0,498.75,364.2578125,Dasypoda hirtipes,500,375
BD_71/Dasypoda hirtipes/Dasypoda hirtipes39921.jpeg,47.50000000000001,205.5078125,336.25,415.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes39921.jpeg,180.0,9.2578125,368.75,156.7578125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes54246.jpeg,58.75,19.2578125,481.25,475.5078125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes53177.jpg,30.0,41.7578125,431.25,394.25781250000006,Dasypoda hirtipes,500,408
BD_71/Dasypoda hirtipes/Dasypoda hirtipes82382.jpeg,7.5,1.7578125,352.5,410.5078125,Dasypoda hirtipes,375,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes16632.jpg,68.75,116.7578125,428.75,331.7578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes38213.jpg,23.75,108.0078125,498.75,346.7578125,Dasypoda hirtipes,500,500
BD_71/Dasypoda hirtipes/Dasypoda hirtipes86424.jpeg,80.0,65.5078125,467.5,378.0078125,Dasypoda hirtipes,500,492
