,path,xmin,ymin,xmax,ymax,label,width,height
0,BD_71/Ceratina cucurbitina/Ceratina cucurbitina3759.jpg,334.0,186.04165649414065,458.0,438.0416564941406,Anthophila,800,605
1,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata84068.jpeg,122.76785714285714,168.46428571428572,270.0892857142857,263.10714285714283,Anthophila,500,424
2,BD_71/Andrena vaga/Andrena vaga59939.jpeg,41.25,211.25,252.5,361.25,Anthophila,500,500
3,BD_71/Osmia bicolor/Osmia bicolor27767.jpg,152.5,99.2578125,303.75,225.5078125,Anthophila,500,281
4,BD_71/Bombus campestris/Bombus campestris20724.jpeg,58.75,66.25,440.0,316.25,Anthophila,500,375
5,BD_71/Bombus sylvarum/Bombus sylvarum60807.jpg,92.5,96.25,262.5,295.0,Anthophila,441,500
6,BD_71/Bombus lucorum/Bombus lucorum44181.jpeg,192.5,75.00000000000001,420.0,318.75000000000006,Anthophila,500,333
7,BD_71/Bombus pratorum/Bombus pratorum62215.jpeg,50.0,101.25,330.0,418.75,Anthophila,375,500
8,BD_71/Macropis europaea/Macropis europaea14721.jpeg,62.5,61.25,470.0,300.0,Anthophila,500,372
9,BD_71/Lithurgus chrysurus/Lithurgus chrysurus16304.jpeg,35.0,68.75,470.0,302.50000000000006,Anthophila,500,333
10,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata50973.jpeg,127.5,170.0,326.25,326.25,Anthophila,500,500
11,BD_71/Osmia bicornis/Osmia bicornis24580.jpeg,66.96428571428571,11.25,411.25,415.0,Anthophila,500,430
12,BD_71/Ceratina cucurbitina/Ceratina cucurbitina3729.jpg,195.53571428571428,207.1428571428571,510.0,792.0416564941406,Anthophila,600,800
13,BD_71/Anthophora plumipes/Anthophora plumipes64490.jpg,71.25,281.25,186.25,412.5,Anthophila,375,500
14,BD_71/Anthophora plumipes/Anthophora plumipes64614.jpg,166.24999999999997,201.25,436.25,427.5,Anthophila,462,500
15,BD_71/Rhodanthidium sticticum/Rhodanthidium sticticum2300.jpg,127.23214285714285,46.60714285714285,406.25,363.1473214285714,Anthophila,500,435
16,BD_71/Bombus lapidarius/Bombus lapidarius17027.jpg,140.0,122.76785714285714,411.25,417.4107142857143,Anthophila,490,500
17,BD_71/Lithurgus chrysurus/P2080004.jpg,93.75,2.5,386.25,281.0,Anthophila,500,281
18,BD_71/Bombus terrestris lusitanicus/Bombus terrestris lusitanicus935.jpg,21.25,126.25,295.0,388.75,Anthophila,375,500
19,BD_71/Bombus pascuorum/Bombus pascuorum19604.jpg,67.5,33.75,351.25,310.0,Anthophila,500,334
20,BD_71/Colletes hederae/Colletes hederae20154.jpg,66.0,80.0,504.0,700.0,Anthophila,600,800
21,BD_71/Andrena nigroaenea/Andrena nigroaenea66108.jpg,145.08928571428572,55.691964285714285,370.0,391.25,Anthophila,500,499
22,BD_71/Osmia cornuta/Osmia cornuta61344.jpg,41.25,136.25,246.25,361.25,Anthophila,375,500
23,BD_71/Andrena agilissima/Andrena agilissima92699.jpeg,229.91071428571428,131.21428571428572,312.5,207.25892857142856,Anthophila,500,334
24,BD_71/Bombus lucorum/Bombus lucorum17223.jpeg,28.75,195.0,132.5,305.0,Anthophila,281,500
25,BD_71/Colletes cunicularius/Colletes cunicularius56270.jpeg,312.5,115.0,377.5,185.0,Anthophila,500,333
26,BD_71/Andrena nycthemera/Andrena nycthemera6127.jpg,0.0,0.0,485.0,326.25000000000006,Anthophila,500,333
27,BD_71/Bombus lucorum/Bombus lucorum1567.jpg,45.0,147.5,311.25,423.75,Anthophila,375,500
28,BD_71/Andrena nitida/Andrena nitida10244.jpeg,115.0,41.25,356.25,427.5,Anthophila,444,500
29,BD_71/Xylocopa violacea/Xylocopa violacea12393.jpg,17.857142857142858,37.5,684.0,580.8125,Anthophila,800,600
30,BD_71/Andrena bicolor/Andrena bicolor60742.jpeg,207.5892857142857,123.38839285714286,258.75,168.75,Anthophila,500,333
31,BD_71/Bombus pascuorum/Bombus pascuorum4392.jpg,46.25,23.75,490.0,482.5,Anthophila,500,500
32,BD_71/Andrena nitida/Andrena nitida23023.jpg,68.75,118.75,222.42857142857144,415.1785714285715,Anthophila,346,500
33,BD_71/Chelostoma florisomne/Chelostoma florisomne94652.jpeg,58.75,47.50000000000001,378.75,287.5,Anthophila,500,375
34,BD_71/Bombus rupestris/Bombus rupestris85575.jpeg,76.25,50.0,390.0,336.24999999999994,Anthophila,500,476
35,BD_71/Andrena fulva/abeille.jpg,29.290178571428573,43.75,237.5,415.0,Anthophila,243,500
36,BD_71/Bombus sylvarum/Bombus sylvarum40940.jpg,102.5,166.25,221.25,291.25,Anthophila,375,500
37,BD_71/Bombus argillaceus/Bombus argillaceus11327.jpeg,90.85267857142856,127.23214285714285,320.0,346.25,Anthophila,433,500
38,BD_71/Lithurgus chrysurus/Lithurgus chrysurus53650.jpg,103.75,83.74999999999999,387.5,334.99999999999994,Anthophila,500,387
39,BD_71/Anthidium manicatum/IMG_20210419_162809.jpg,60.267857142857146,13.392857142857142,301.25,281.25,Anthophila,500,375
40,BD_71/Bombus rupestris/Bombus rupestris5013.jpg,198.66071428571428,131.25,352.5,282.9241071428571,Anthophila,500,375
41,BD_71/Andrena hattorfiana/p1190461.jpg.jpg,41.25,168.75,486.25,468.75,Anthophila,500,500
42,BD_71/Andrena flavipes/Andrena flavipes56436.jpeg,61.941964285714285,138.39285714285714,321.42857142857144,379.4642857142857,Anthophila,375,500
43,BD_71/Andrena thoracica/Andrena thoracica59805.jpg,98.75,98.75,331.25,340.0,Anthophila,500,500
44,BD_71/Osmia bicornis/Osmia bicornis61296.jpg,210.0,350.0,278.75,420.0,Anthophila,362,500
45,BD_71/Ceratina cucurbitina/Ceratina cucurbitina3319.jpg,62.5,65.41071428571429,431.25,277.5260353088379,Anthophila,500,333
46,BD_71/Osmia cornuta/Osmia cornuta8298.jpeg,42.410714285714285,44.19642857142857,450.0,251.25,Anthophila,500,300
47,BD_71/Osmia caerulescens/Osmia caerulescens56879.jpeg,95.98214285714286,20.71875,399.5535714285714,272.53124999999994,Anthophila,500,357
48,BD_71/Bombus pascuorum/Bombus pascuorum16566.jpg,37.5,5.0,496.25,352.5,Anthophila,500,375
49,BD_71/Bombus campestris/Bombus campestris15715.jpeg,210.0,172.5,271.25,233.75000000000003,Anthophila,500,333
50,BD_71/Bombus lapidarius/Bombus lapidarius87699.jpg,302.5,71.24999999999999,378.75,152.5,Anthophila,500,422
51,BD_71/Melecta albifrons/Melecta albifrons60878.jpeg,160.0,178.0078125,272.5,376.7578125,Anthophila,375,500
52,BD_71/Xylocopa violacea/Xylocopa violacea17859.jpg,0.0,42.71428571428572,750.0,595.3303571428571,Anthophila,800,598
53,BD_71/Osmia cornuta/Osmia cornuta21077.jpg,141.25,138.75,170.0,162.50000000000003,Anthophila,500,333
54,BD_71/Anthidium florentinum/Anthidium florentinum22462.jpeg,65.0,39.99999999999999,326.25,313.5625,Anthophila,500,406
55,BD_71/Andrena vaga/Andrena vaga68272.jpeg,146.25,211.25,267.8571428571429,323.6607142857143,Anthophila,375,500
56,BD_71/Bombus pratorum/20130110125338_6.jpg,16.25,3.75,348.75,478.75,Anthophila,379,500
57,BD_71/Halictus rubicundus/halictus_rubicun.jpg,84.82142857142857,78.55357142857143,345.0,254.2578125,Anthophila,500,332
58,BD_71/Xylocopa violacea/Xylocopa violacea15810.jpg,32.142857142857146,210.7142857142857,566.0,682.8125,Anthophila,600,800
59,BD_71/Andrena nigroaenea/Andrena nigroaenea19615.jpg,53.57142857142857,53.57142857142857,457.5,245.0,Anthophila,500,375
60,BD_71/Colletes hederae/Colletes hederae2392.jpg,148.0,88.0,560.0,628.0,Anthophila,600,800
61,BD_71/Andrena fulva/Andrena fulva64340.jpeg,26.785714285714285,111.60714285714286,464.2857142857143,399.5535714285714,Anthophila,500,500
62,BD_71/Bombus pratorum/Bombus pratorum39055.jpeg,80.0,177.5,343.75,461.25,Anthophila,375,500
63,BD_71/Apis mellifera/Spipoll_Apis mellifera1617.jpg,188.0,66.0,700.0,506.0,Anthophila,800,601
64,BD_71/Anthophora plumipes/Anthophora plumipes23359.jpeg,126.25,47.50000000000001,357.5,331.25,Anthophila,500,375
65,BD_71/Bombus hortorum/Bombus hortorum78550.jpeg,8.75,53.75,302.50000000000006,473.75,Anthophila,333,500
66,BD_71/Anthidium manicatum/p1100969_001.jpg.jpg,13.75,16.25,496.25,261.25,Anthophila,500,327
67,BD_71/Bombus hortorum/Bombus hortorum77318.jpg,62.5,146.25,295.0,391.25,Anthophila,375,500
68,BD_71/Bombus bohemicus/Bombus bohemicus54209.jpeg,101.25,2.5,386.25,453.75,Anthophila,500,500
69,BD_71/Anthophora furcata/Anthophora furcata76231.jpg,20.0,17.5,435.0,310.0,Anthophila,500,361
70,BD_71/Bombus campestris/Bombus campestris12411.jpg,98.75,41.25000000000001,413.75,275.0,Anthophila,500,333
71,BD_71/Anthophora plumipes/a3_2.jpg,58.75,31.25,255.0,238.75,Anthophila,500,321
72,BD_71/Bombus muscorum/Bombus muscorum47136.jpg,145.0,257.5,273.75,392.5,Anthophila,375,500
73,BD_71/Bombus terrestris lusitanicus/Bombus terrestris lusitanicus930.jpeg,142.5,95.0,235.0,177.5,Anthophila,500,333
74,BD_71/Osmia bicornis/Osmia bicornis52543.jpg,23.75,52.50000000000001,461.25,313.75000000000006,Anthophila,500,348
75,BD_71/Andrena denticulata/Andrena denticulata84242.jpg,151.78571428571428,111.71875,416.25,285.0,Anthophila,500,455
76,BD_71/Macropis europaea/Macropis 6.9 F Illkirch 5 07 2017 poss IMG_7022.jpg,45.0,83.75,288.75,311.25,Anthophila,500,369
77,BD_71/Bombus hortorum/Bombus hortorum82062.jpeg,193.75000000000003,312.5,331.25,438.75,Anthophila,375,500
78,BD_71/Megachile ericetorum/Megachile ericetorum80579.jpg,65.0,191.25,228.75,322.5,Anthophila,375,500
79,BD_71/Megachile sculpturalis/Megachile sculpturalis16602.jpg,186.25,135.5078125,263.75,196.7578125,Anthophila,500,305
80,BD_71/Anthophora plumipes/Anthophora plumipes7961.jpeg,211.25,121.25,312.5,250.0,Anthophila,500,375
81,BD_71/Dasypoda hirtipes/Dasypoda hirtipes13757.jpg,198.66071428571428,99.2578125,475.0,272.0491071428572,Anthophila,500,333
82,BD_71/Melecta albifrons/Melecta albifrons9500.jpg,60.0,45.5078125,422.5,373.0078125,Anthophila,500,452
83,BD_71/Bombus pratorum/Bombus pratorum75055.jpeg,100.0,55.00000000000001,403.75,385.00000000000006,Anthophila,500,418
84,BD_71/Xylocopa violacea/Xylocopa violacea6969.jpg,92.0,190.8125,578.0,750.8125,Anthophila,600,800
85,BD_71/Andrena vaga/Andrena vaga57556.jpg,157.5,63.75000000000001,445.0,243.75000000000003,Anthophila,500,333
86,BD_71/Dasypoda hirtipes/Dasypoda hirtipes37361.jpg,149.55357142857142,31.21875,286.25,191.7578125,Anthophila,500,333
87,BD_71/Osmia bicornis/20200423_142849_copy_800x800.jpg,51.25,26.25,375.0,341.25,Anthophila,500,500
88,BD_71/Bombus vestalis/Bombus vestalis61667.jpeg,136.25,114.2578125,325.0,253.0078125,Anthophila,500,375
